nro;nro_f;uniorcam;janeiro;fevereiro;marco;abril;maio;junho;julho;agosto;setembro;outubro;novembro;dezembro;meta1bim;meta2bim;meta3bim;meta4bim;meta5bim;meta6bim;cp;rv
11280191000000000000;1.1.2.8.01.9.1.00.00.00;201;221,00;2.143,00;1.098,00;2.099,00;2.592,00;3.899,00;3.615,00;4.659,00;21.866,00;5.608,00;0,00;0,00;5.966,64;5.966,64;5.966,64;5.966,64;5.966,64;5.966,61;0;0
11280191010000000000;1.1.2.8.01.9.1.01.00.00;201;93,00;504,00;168,00;255,00;215,00;1.341,00;1.028,00;1.978,00;20.666,00;3.830,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1
11280191030000000000;1.1.2.8.01.9.1.03.00.00;201;42,00;628,00;504,00;306,00;215,00;583,00;1.523,00;1.797,00;348,00;995,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1
11280191040000000000;1.1.2.8.01.9.1.04.00.00;201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5.966,64;5.966,64;5.966,64;5.966,64;5.966,64;5.966,61;0;1
11280191050000000000;1.1.2.8.01.9.1.05.00.00;201;86,00;752,00;0,00;749,00;2.012,00;1.510,00;823,00;124,00;310,00;450,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1005
11280191060000000000;1.1.2.8.01.9.1.06.00.00;201;0,00;259,00;374,00;633,00;98,00;413,00;241,00;760,00;542,00;281,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1
11280191070000000000;1.1.2.8.01.9.1.07.00.00;201;0,00;0,00;52,00;156,00;52,00;52,00;0,00;0,00;0,00;52,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1
11280192000000000000;1.1.2.8.01.9.2.00.00.00;201;0,00;0,00;0,00;1,82;0,00;0,00;0,00;0,00;0,00;70,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0
11280192010000000000;1.1.2.8.01.9.2.01.00.00;201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;67,58;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1
11280192030000000000;1.1.2.8.01.9.2.03.00.00;201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1
11280192060000000000;1.1.2.8.01.9.2.06.00.00;201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1
11280192070000000000;1.1.2.8.01.9.2.07.00.00;201;0,00;0,00;0,00;1,82;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1
11280193000000000000;1.1.2.8.01.9.3.00.00.00;201;456,09;496,58;1.031,84;439,52;586,31;327,60;327,62;123,52;386,31;447,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0
11280193010000000000;1.1.2.8.01.9.3.01.00.00;201;456,09;496,58;1.031,84;439,52;586,31;327,60;327,62;123,52;386,31;447,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1
11280194000000000000;1.1.2.8.01.9.4.00.00.00;201;161,54;268,89;282,27;102,09;115,37;52,77;51,12;25,41;84,85;130,57;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0
11280194010000000000;1.1.2.8.01.9.4.01.00.00;201;161,54;268,89;282,27;102,09;115,37;52,77;51,12;25,41;84,85;130,57;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1
12000000000000000000;1.2.0.0.00.0.0.00.00.00;201;15.085,79;88.277,28;81.633,29;82.190,29;83.008,95;82.605,84;80.247,75;80.900,12;78.721,26;79.058,16;0,00;0,00;202.194,21;146.630,03;147.498,38;144.967,46;143.183,37;141.056,95;0;0
12100000000000000000;1.2.1.0.00.0.0.00.00.00;201;0,00;73.972,20;62.982,21;63.687,86;65.853,47;65.136,36;65.229,17;65.719,05;64.833,21;65.834,59;0,00;0,00;177.256,58;118.171,06;118.171,06;118.171,06;118.171,06;118.171,02;0;0
12180000000000000000;1.2.1.8.00.0.0.00.00.00;201;0,00;73.972,20;62.982,21;63.687,86;65.853,47;65.136,36;65.229,17;65.719,05;64.833,21;65.834,59;0,00;0,00;177.256,58;118.171,06;118.171,06;118.171,06;118.171,06;118.171,02;0;0
12180100000000000000;1.2.1.8.01.0.0.00.00.00;201;0,00;73.972,20;62.982,21;63.687,86;65.853,47;65.136,36;65.229,17;65.719,05;64.833,21;65.834,59;0,00;0,00;177.256,58;118.171,06;118.171,06;118.171,06;118.171,06;118.171,02;0;0
12180110000000000000;1.2.1.8.01.1.0.00.00.00;201;0,00;73.972,20;62.982,21;63.687,86;65.797,54;64.826,52;64.919,33;65.409,21;64.833,21;65.524,75;0,00;0,00;177.256,58;118.171,06;118.171,06;118.171,06;118.171,06;118.171,02;0;0
12180111000000000000;1.2.1.8.01.1.1.00.00.00;1201;0,00;73.972,20;62.982,21;63.687,86;65.797,54;64.826,52;64.919,33;65.409,21;64.833,21;65.524,75;0,00;0,00;177.256,58;118.171,06;118.171,06;118.171,06;118.171,06;118.171,02;0;50
12180130000000000000;1.2.1.8.01.3.0.00.00.00;201;0,00;0,00;0,00;0,00;55,93;309,84;309,84;309,84;0,00;309,84;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0
